date,amount,description,transaction_type,source
2025-10-13,-62.59,WEI'S DUMPLING HUT        SUBIACO,expense,ANZ
2025-10-13,-24.9,UNIQLO PERTH              PERTH,expense,ANZ
2025-10-10,-15.79,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ
2025-10-10,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-10-09,-23.35,CHICKEN RICE CORNER VI    EAST VICTORIA,expense,ANZ
2025-10-08,-33.0,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-10-07,-68.9,REDDY EXPRESS 6913        PERTH WEST,expense,ANZ
2025-10-07,-10.64,T4 VICTORIA PARK          EAST VICTORIA,expense,ANZ
2025-10-07,-28.32,SQ *KUAFOOD PERTH         EAST VICTORIA,expense,ANZ
2025-10-06,-8.62,THE TRUSTEE FOR BENOZ     NORTHBRIDGE,expense,ANZ
2025-10-06,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-10-06,-27.3,SQ *LOUDER LOUDER         NORTHBRIDGE,expense,ANZ
2025-10-06,-17.74,FRESH PROVISIONS MT LA    MOUNT LAWLEY,expense,ANZ
2025-10-06,-95.5,SQ *HOUSE OF PHO          MOUNT LAWLEY,expense,ANZ
2025-10-06,-74.99,IINET LTD N               SYDNEY,expense,ANZ
2025-10-06,-18.62,TIEN TIEN YOGURT PL       EAST VICTORIA,expense,ANZ
2025-10-06,-50.95,TS/AYAM PENYET RIA - V    VICTORIA,expense,ANZ
2025-10-02,-50.81,HAO SZECHUAN/1514 ALBANY  BECKENHAM,expense,ANZ
2025-10-02,-6.8,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-10-02,-2.03,HAO SZECHUAN/1514 ALBANY  BECKENHAM,expense,ANZ
2025-10-01,-36.74,1982 FOOD AND COFFEE      SUBIACO,expense,ANZ
2025-10-01,-30.82,TS/AYAM PENYET RIA - V    VICTORIA,expense,ANZ
2025-09-30,-15.99,SPOTIFY                   SYDNEY,expense,ANZ
2025-09-29,-87.67,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
2025-09-29,-54.86,HBF HEALTH LIMITED        PERTH,expense,ANZ
2025-09-29,-5.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-09-29,-6.4,SQ *CHARLIE BOY COFFEE    NORTHBRIDGE,expense,ANZ
2025-09-29,-20.89,SQ *SIPRA KEBAB AND GRILL WEST PERTH,expense,ANZ
2025-09-29,-21.9,LS ALFA OMEGA PTY LTD     WEST PERTH,expense,ANZ
2025-09-26,-6.8,SQ *GIANT COFFEE          NORTHBRIDGE,expense,ANZ
2025-09-26,-19.0,SQ *PIETRO GELATERIA      EAST VICTORIA,expense,ANZ
2025-09-26,-5.9,TS/AYAM PENYET RIA - V    VICTORIA,expense,ANZ
2025-09-26,-59.39,TS/AYAM PENYET RIA - V    VICTORIA,expense,ANZ
2025-09-24,-40.8,FARMER JACKS SUBIACO      SUBIACO,expense,ANZ
